번호,투자분야,1분기 거래증권사 명,2분기 거래증권사 명,3분기 거래증권사 명,4분기 거래증권사 명
1,국내주식,LS투자증권,NH투자증권,NH투자증권,교보증권
2,국내주식,NH투자증권,대신증권,iM증권,다올투자증권
3,국내주식,메리츠증권,삼성증권,대신증권,메리츠증권
4,국내주식,삼성증권,키움증권,신한투자증권,삼성증권
5,국내주식,현대차증권,하나증권,유진투자증권,한국투자증권
6,국내주식,DS투자증권,현대차증권,현대차증권,한화투자증권
7,국내주식,IBK투자증권,IBK투자증권,DB증권,KB증권
8,국내주식,KB증권,KB증권,DS투자증권,LS증권
9,국내주식,다올투자증권,SK증권,IBK투자증권,iM증권
10,국내주식,신영증권,다올투자증권,상상인증권,대신증권
11,국내주식,한화투자증권,메리츠증권,유안타증권,키움증권
12,국내주식,SK증권,신한투자증권,키움증권,하나증권
13,국내주식,리딩투자증권,BNK투자증권,넥스트증권,한양증권
14,국내주식,부국증권,리딩투자증권,코리아에셋증권,부국증권
